Id,Kabupaten/Kota,Harapan Lama Sekolah (2019),Harapan Lama Sekolah (2020),Harapan Lama Sekolah (2021),Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang)(2019),Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang) (2020),Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang) (2021),Rata-rata Lama Sekolah (2019),Rata-rata Lama Sekolah (2020),Rata-rata Lama Sekolah (2021),Umur Harapan Hidup Saat Lahir (UHH) (2019),Umur Harapan Hidup Saat Lahir (UHH) (2020),Umur Harapan Hidup Saat Lahir (UHH) (2021),Indeks Pembangunan Manusia (2019),Indeks Pembangunan Manusia (2020),Indeks Pembangunan Manusia (2021),Peringkat Indeks Pembangunan Manusia (2019),Peringkat Indeks Pembangunan Manusia (2020),Peringkat Indeks Pembangunan Manusia (2021),Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota (2019) ,Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota (2020) ,Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota (2021) ,Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota (2019),Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota (2020),Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota (2021)
159,Buleleng,12.91,13.07,13.08,13780,13463,13362,7.08,7.24,7.25,71.68,71.83,71.95,72.3,72.55,72.56,-,-,-,0.14,0.08,0.14,0.72,0.53,0.74
160,Kudus,13.22,13.23,13.24,11318,11160,11272,8.63,8.75,8.76,76.5,76.6,76.68,74.94,75.0,75.16,-,-,-,0.17,0.18,0.27,0.83,1.01,1.23
161,Dharmasraya,12.42,12.43,12.44,11431,11273,11324,8.46,8.47,8.55,71.1,71.33,71.53,71.52,71.51,71.76,-,-,-,0.2,0.13,0.12,0.89,0.71,0.75
162,Konawe Selatan,12.24,12.36,12.37,9115,9037,9059,7.74,7.86,8.11,70.52,70.8,70.87,67.88,68.2,68.58,19,19,17,0.38,0.41,0.52,1.65,1.77,1.98
163,Mimika,12.17,12.4,12.69,12035,11431,11400,9.91,10.17,10.18,72.27,72.32,72.36,74.13,74.19,74.48,-,-,-,2.44,1.16,0.69,5.51,3.59,2.53
164,Lampung Selatan,12.33,12.5,12.52,9978,9875,9931,7.68,7.69,7.7,69.2,69.33,69.42,68.22,68.36,68.49,-,-,-,0.58,0.6,0.6,2.32,2.52,2.37
166,Gorontalo,12.94,13.17,13.18,9361,9277,9412,7.11,7.13,7.3,67.45,67.58,67.69,66.69,66.92,67.34,-,-,-,0.79,1.17,1.41,3.27,3.95,4.43
167,Kota Bekasi,13.99,14.0,14.1,16157,15776,15903,11.1,11.16,11.31,74.89,75.01,75.19,81.59,81.5,81.95,-,-,-,0.1,0.15,0.16,0.47,0.6,0.66
168,Pegunungan Bintang,6.14,6.25,6.47,5633,5409,5429,2.61,2.81,3.04,64.34,64.44,64.54,45.21,45.44,46.28,-,-,-,3.38,1.1,0.7,9.02,4.91,3.69
169,Pamekasan,13.63,13.64,13.65,8834,8739,8804,6.4,6.69,6.7,67.45,67.58,67.67,65.94,66.26,66.4,-,-,-,0.39,0.37,0.4,1.85,1.89,1.9
170,Sigi,12.86,12.87,12.88,8375,8126,8171,8.53,8.6,8.82,69.57,69.99,70.09,68.16,68.12,68.49,-,-,-,0.6,0.49,0.38,2.17,1.96,1.7
171,Kota Jambi,14.9,15.1,15.37,12205,12056,12240,10.91,10.92,11.2,72.57,72.65,72.71,78.26,78.37,79.12,-,-,-,0.42,0.4,0.34,1.52,1.47,1.42
173,Asahan,12.59,12.6,12.61,10983,10890,11030,8.49,8.79,8.8,68.11,68.26,68.37,69.92,70.29,70.49,-,-,-,0.21,0.33,0.59,1.24,1.37,1.9
175,Kepahiang,12.89,12.9,13.12,9243,9273,9377,7.93,8.24,8.29,67.78,67.95,68.08,67.67,68.17,68.62,-,-,-,0.75,0.37,0.36,2.54,1.9,1.62
176,Banyu Asin,11.74,11.75,11.77,10135,9850,9860,7.19,7.2,7.44,68.76,68.97,69.06,66.9,66.74,67.13,-,-,-,0.33,0.18,0.45,1.57,1.14,2.0
177,Landak,12.39,12.4,12.43,7403,7357,7431,7.1,7.11,7.12,72.7,72.84,73.04,65.96,65.98,66.21,-,-,-,0.38,0.38,0.26,1.71,1.54,1.29
178,Aceh Besar,14.71,14.72,14.73,9661,9641,9644,10.31,10.32,10.33,69.77,69.78,69.79,73.55,73.56,73.58,-,-,-,0.69,0.61,0.58,2.56,2.4,2.32
182,Aceh Utara,14.69,14.7,14.71,8189,8122,8201,8.46,8.63,8.64,68.79,68.8,68.81,69.22,69.33,69.46,-,-,-,0.55,0.63,0.43,2.44,2.6,2.17
183,Tanjung Jabung Barat,12.61,12.62,12.63,9539,9480,9699,7.7,7.71,8.0,68.03,68.12,68.17,67.54,67.54,68.16,-,-,-,0.44,0.38,0.53,1.68,1.58,1.96
184,Pangandaran,12.06,12.07,12.08,9423,9084,9065,7.67,7.74,7.85,71.12,71.4,71.6,68.21,68.06,68.28,-,-,-,0.16,0.28,0.27,0.9,1.32,1.25
185,Tangerang,12.81,12.82,12.84,12476,12203,12273,8.28,8.39,8.61,69.79,69.89,69.93,71.93,71.92,72.29,-,-,-,0.14,0.22,0.29,0.69,0.95,1.21
186,Batu Bara,12.62,12.63,12.64,10575,10410,10539,8.02,8.06,8.07,66.75,66.96,67.13,68.35,68.36,68.58,-,-,-,0.34,0.37,0.51,1.63,1.61,1.99
187,Kota Padang,16.51,16.52,16.53,14728,14481,14540,11.34,11.58,11.59,73.57,73.65,73.69,82.68,82.82,82.9,-,-,-,0.18,0.09,0.13,0.63,0.45,0.67
189,Labuhan Batu Utara,12.82,13.04,13.19,11957,11779,11840,8.36,8.4,8.41,69.37,69.46,69.56,71.43,71.61,71.87,-,-,-,0.38,0.6,0.22,1.66,1.87,1.07
190,Lampung Tengah,12.91,12.92,12.93,11154,11219,11259,7.57,7.58,7.59,69.75,69.84,69.87,70.04,70.16,70.23,-,-,-,0.51,0.33,0.44,2.09,1.63,1.76
191,Minahasa,13.97,13.98,14.15,12720,12395,12481,9.58,9.59,9.73,70.98,71.08,71.16,75.47,75.29,75.73,-,-,-,0.2,0.17,0.32,1.02,0.82,1.31
192,Kota Denpasar,13.99,14.0,14.09,19992,19723,19598,11.23,11.47,11.48,74.68,74.82,74.93,83.68,83.93,84.03,-,-,-,0.06,0.05,0.06,0.29,0.25,0.37
194,Kota Kediri,14.97,15.26,15.27,12440,12239,12359,9.92,9.93,10.15,73.96,74.02,74.04,78.08,78.23,78.6,-,-,-,0.32,0.17,0.21,1.23,0.96,1.03
196,Yalimo,8.83,9.11,9.32,4860,4647,4664,2.58,2.79,3.01,65.34,65.42,65.49,48.08,48.34,49.01,-,-,-,6.18,4.86,7.28,12.23,11.47,13.86
199,Ende,13.77,13.78,13.79,9315,9094,9027,7.8,7.81,8.03,65.17,65.29,65.43,67.2,67.04,67.3,-,-,-,1.11,1.19,2.15,4.22,4.54,6.39
200,Bojonegoro,12.36,12.39,12.68,10265,10121,10221,7.09,7.33,7.38,71.36,71.56,71.72,68.75,69.04,69.59,-,-,-,0.43,0.35,0.45,1.95,1.72,1.88
201,Bondowoso,13.27,13.28,13.29,10665,10610,10690,5.71,5.93,5.94,66.55,66.74,66.89,66.09,66.43,66.59,-,-,-,0.33,0.5,0.49,1.67,2.16,2.19
203,Berau,13.31,13.32,13.33,12726,12018,12435,9.25,9.52,9.53,71.94,72.06,72.32,74.88,74.71,75.2,-,-,-,0.12,0.17,0.2,0.66,0.7,0.95
204,Lima Puluh Kota,13.28,13.29,13.3,9842,9596,9668,7.98,7.99,8.07,69.7,69.79,69.84,69.67,69.47,69.68,-,-,-,0.07,0.14,0.3,0.51,0.78,1.21
205,Buru,13.02,13.03,13.04,10400,10316,10347,8.46,8.52,8.79,66.32,66.41,66.44,68.91,68.95,69.33,-,-,-,0.95,0.89,1.12,3.39,2.91,3.52
206,Kota Bontang,12.9,13.03,13.17,16843,16278,16765,10.73,10.79,10.8,74.18,74.28,74.55,80.09,80.02,80.59,-,-,-,0.08,0.09,0.08,0.42,0.54,0.47
207,Pringsewu,12.82,12.83,12.84,10289,10262,10302,8.19,8.38,8.39,69.85,70.08,70.27,69.97,70.3,70.45,-,-,-,0.21,0.21,0.26,1.13,1.2,1.38
208,Gorontalo Utara,12.44,12.45,12.46,8982,8921,9064,6.74,7.03,7.15,65.79,65.87,65.93,64.52,64.86,65.21,28,28,27,0.45,0.44,0.49,2.24,2.09,2.32
210,Kota Banjarmasin,13.92,13.93,13.94,14547,14306,14432,9.94,9.95,10.2,70.98,71.13,71.29,77.16,77.1,77.57,-,-,-,0.26,0.11,0.11,0.81,0.54,0.56
211,Labuhan Batu,12.67,12.73,12.74,11193,11150,11212,9.23,9.24,9.25,69.86,69.93,69.95,71.94,72.01,72.09,-,-,-,0.15,0.18,0.29,0.87,0.98,1.32
212,Timor Tengah Selatan,12.56,12.57,12.58,6955,6861,6839,6.72,6.73,6.74,66.32,66.42,66.46,62.23,62.15,62.16,-,-,-,2.09,1.73,1.28,6.68,5.86,5.08
214,Ogan Komering Ilir,11.41,11.42,11.68,11032,10725,10755,7.03,7.04,7.05,68.41,68.61,68.67,66.96,66.82,67.17,-,-,-,0.61,0.86,1.16,2.67,2.98,3.52
215,Pesawaran,12.29,12.36,12.59,8059,7892,7934,7.6,7.7,7.71,68.88,69.04,69.15,65.75,65.79,66.14,-,-,-,0.71,0.48,0.57,2.69,2.18,2.3
218,Kota Kotamobagu,12.78,12.79,12.88,11098,10744,10848,10.09,10.1,10.31,70.33,70.47,70.6,73.22,72.97,73.47,-,-,-,0.13,0.16,0.39,0.68,0.84,1.32
219,Bandung,12.68,12.69,12.7,10502,10201,10307,8.79,8.96,9.07,73.4,73.53,73.72,72.41,72.39,72.73,-,-,-,0.28,0.17,0.34,1.04,0.92,1.23
220,Kota Bima,14.99,15.0,15.04,11334,11105,11135,10.38,10.49,10.65,70.2,70.38,70.5,75.8,75.81,76.11,-,-,-,0.36,0.12,0.21,1.58,0.6,1.12
221,Bogor,12.47,12.48,12.49,10683,10317,10410,8.29,8.3,8.31,71.01,71.17,71.36,70.65,70.4,70.6,-,-,-,0.15,0.11,0.35,0.83,0.83,1.36
222,Donggala,12.48,12.49,12.51,8189,7960,8002,7.86,7.97,7.98,66.85,67.33,67.5,65.49,65.56,65.72,25,25,25,0.76,0.79,0.7,2.86,3.01,2.76
223,Melawi,11.15,11.16,11.17,8465,8332,8415,6.67,6.76,6.91,72.88,72.97,72.98,65.54,65.55,65.87,-,-,-,0.6,0.4,0.62,2.24,1.63,2.21
224,Kota Jakarta Timur,13.82,13.86,13.96,17662,17438,17733,11.65,11.66,11.67,74.37,74.47,74.54,82.69,82.66,82.97,-,-,-,0.08,0.05,0.13,0.33,0.35,0.56
226,Kota Cirebon,13.11,13.12,13.13,11930,11800,11810,9.9,9.91,10.12,72.13,72.26,72.44,74.92,74.89,75.25,-,-,-,0.26,0.4,0.68,1.23,1.68,2.22
227,Kutai Timur,12.78,12.89,12.9,11196,10485,10868,9.18,9.19,9.43,73.03,73.16,73.46,73.49,73.0,73.81,-,-,-,0.55,0.63,0.44,1.9,2.02,1.64
229,Probolinggo,12.34,12.35,12.36,10972,10859,10969,5.77,6.11,6.12,67.0,67.2,67.36,65.6,66.07,66.26,-,-,-,0.85,0.78,0.81,3.2,3.12,3.26
230,Bengkulu Utara,12.86,12.87,12.88,10336,10263,10410,7.86,7.87,8.09,68.04,68.19,68.27,68.8,68.82,69.28,-,-,-,0.36,0.37,0.77,1.61,1.58,2.67
231,Tulungagung,13.15,13.31,13.32,10891,10705,10807,8.07,8.33,8.34,73.95,74.08,74.16,72.62,73.0,73.15,-,-,-,0.17,0.11,0.18,0.84,0.72,0.94
232,Purwakarta,12.1,12.11,12.12,11819,11614,11669,7.92,8.09,8.1,70.8,70.99,71.18,70.67,70.82,70.98,-,-,-,0.28,0.2,0.3,1.24,1.04,1.31
234,Padang Lawas,13.02,13.03,13.27,9100,8807,8921,8.69,9.01,9.02,66.98,67.09,67.13,68.16,68.25,68.64,-,-,-,0.47,0.29,0.34,1.64,1.19,1.33
235,Maybrat,12.91,13.21,13.47,5391,5336,5245,6.67,6.85,6.96,65.17,65.19,65.25,59.15,59.52,59.7,-,-,-,3.76,2.64,3.52,9.67,8.01,9.09
236,Muna,13.78,13.79,13.8,8253,8203,8218,8.35,8.36,8.46,70.18,70.39,70.41,68.97,69.02,69.17,-,-,-,0.4,0.46,0.39,1.71,1.86,1.9
237,Cirebon,12.24,12.25,12.27,10670,10342,10368,6.71,6.92,7.1,71.82,71.99,72.18,68.69,68.75,69.12,-,-,-,0.26,0.24,0.47,1.29,1.3,1.94
239,Nganjuk,12.85,12.86,12.87,12200,12130,12172,7.63,7.64,7.78,71.44,71.54,71.6,71.71,71.72,71.97,-,-,-,0.23,0.35,0.31,1.22,1.62,1.56
240,Nunukan,12.63,12.64,12.65,7290,6804,7064,7.81,8.0,8.17,71.3,71.34,71.4,66.32,65.79,66.46,-,-,-,0.42,0.17,0.12,1.32,0.87,0.68
241,Kota Pekanbaru,15.37,15.54,15.55,15206,14433,14360,11.43,11.68,11.92,72.22,72.34,72.41,81.35,81.32,81.58,-,-,-,0.06,0.13,0.03,0.31,0.48,0.19
242,Kaur,12.98,12.99,13.06,8594,8593,8638,8.25,8.37,8.38,66.5,66.63,66.73,66.78,66.99,67.17,-,-,-,1.15,0.63,1.28,4.14,2.77,4.09
243,Deiyai,9.8,9.81,9.82,4958,4632,4673,3.0,3.01,3.25,65.11,65.24,65.36,50.11,49.46,49.96,-,-,-,2.34,3.9,0.67,7.79,11.44,3.79
244,Hulu Sungai Utara,12.88,12.91,12.92,9772,9527,9644,7.37,7.53,7.75,63.58,63.83,64.1,65.49,65.59,66.12,-,-,-,0.12,0.2,0.12,0.66,0.85,0.76
245,Bulungan,12.99,13.0,13.01,9648,9121,9423,8.93,8.94,9.19,72.6,72.66,72.74,71.66,71.1,71.8,-,-,-,0.45,0.28,0.37,1.64,1.32,1.56
247,Penukal Abab Lematang Ilir,11.9,12.05,12.17,8400,8196,8210,6.75,7.04,7.05,68.07,68.27,68.33,64.33,64.7,64.88,-,-,-,0.37,0.23,0.47,1.86,1.4,1.84
248,Halmahera Barat,13.08,13.19,13.2,7660,7352,7467,8.12,8.35,8.37,66.13,66.25,66.34,65.34,65.31,65.56,-,-,-,0.13,0.13,0.29,0.87,0.86,1.19
249,Bulukumba,12.91,13.17,13.41,10480,10513,10632,7.43,7.67,7.82,67.69,67.92,68.1,68.28,68.99,69.62,-,-,-,0.09,0.14,0.2,0.6,0.71,1.0
251,Bangka Selatan,11.36,11.37,11.38,11910,11757,11768,6.42,6.67,6.71,67.9,68.16,68.35,66.54,66.9,67.06,-,-,-,0.08,0.13,0.06,0.48,0.53,0.35
252,Serang,12.43,12.57,12.58,10802,10665,10713,7.33,7.5,7.51,64.47,64.64,64.76,66.38,66.7,66.82,-,-,-,0.16,0.05,0.12,0.65,0.4,0.61
255,Kota Padangsidimpuan,14.53,14.54,14.56,11181,10856,10965,10.7,11.0,11.09,69.15,69.41,69.5,75.06,75.22,75.48,-,-,-,0.09,0.32,0.28,0.65,1.26,1.17
256,Konawe Kepulauan,11.81,12.06,12.32,6832,6700,6738,9.18,9.41,9.42,68.25,68.43,68.43,65.05,65.41,65.73,-,-,-,1.14,0.6,1.21,3.73,2.56,4.05
259,Teluk Bintuni,12.17,12.31,12.42,9821,9974,9708,7.95,8.08,8.22,60.6,60.83,60.99,64.0,64.55,64.65,-,-,-,4.69,3.15,3.84,10.68,8.31,9.15
260,Flores Timur,12.9,12.91,12.92,7770,7631,7578,7.7,7.71,7.72,65.1,65.2,65.31,64.34,64.22,64.22,-,-,-,0.18,0.4,0.23,1.16,1.61,1.32
261,Ogan Komering Ulu,12.59,12.6,12.83,10261,10020,10040,8.69,8.7,8.71,68.01,68.2,68.24,69.45,69.32,69.6,-,-,-,0.4,0.4,0.36,1.79,1.91,1.83
262,Klaten,13.24,13.25,13.39,12074,11921,12017,8.31,8.58,8.81,76.68,76.78,76.86,75.29,75.56,76.12,-,-,-,0.27,0.31,0.38,1.46,1.66,1.79
263,Kota Tarakan,13.73,14.02,14.03,11509,10894,11261,9.96,9.97,9.98,73.92,73.97,74.04,76.09,75.83,76.23,20,20,22,0.16,0.15,0.23,0.7,0.77,1.01
264,Kota Langsa,15.34,15.35,15.63,12099,12057,12067,11.1,11.11,11.12,69.37,69.42,69.43,77.16,77.17,77.44,-,-,-,0.44,0.36,0.33,1.78,1.6,1.53
265,Muara Enim,11.96,11.97,11.98,11285,10951,10995,7.78,7.79,7.8,68.63,68.9,69.02,68.88,68.74,68.86,-,-,-,0.47,0.43,0.32,2.1,1.94,1.66
266,Tebo,12.39,12.6,12.64,10555,10389,10546,7.57,7.58,7.59,69.91,69.99,70.02,69.02,69.14,69.35,-,-,-,0.26,0.14,0.22,1.07,0.7,0.99
268,Kolaka Utara,12.1,12.11,12.15,10258,10218,10244,7.86,8.12,8.22,70.15,70.36,70.36,68.91,69.31,69.5,-,-,-,1.13,0.64,0.68,3.2,2.28,2.52
269,Ngada,12.69,12.7,12.71,8961,8865,8819,8.37,8.52,8.53,67.96,68.04,68.12,67.76,67.88,67.88,-,-,-,0.65,0.63,0.92,2.37,2.4,2.89
271,Nagekeo,12.47,12.48,12.49,8469,8309,8254,7.83,7.89,7.9,67.03,67.13,67.25,65.88,65.81,65.82,-,-,-,0.42,0.32,0.32,1.93,1.7,1.73
272,Sragen,12.69,12.83,12.84,12720,12589,12679,7.34,7.65,7.66,75.62,75.71,75.79,73.43,73.95,74.08,-,-,-,0.59,0.53,0.6,2.31,2.18,2.39
273,Bengkayang,12.08,12.09,12.1,9182,9102,9193,6.53,6.76,6.8,73.67,73.83,73.84,67.57,67.87,68.04,-,-,-,0.28,0.24,0.14,1.22,1.06,0.8
275,Pesisir Selatan,13.31,13.32,13.33,9444,9212,9270,8.25,8.26,8.27,70.73,70.86,70.96,70.08,69.9,70.03,-,-,-,0.13,0.14,0.15,0.76,0.81,0.87
276,Karangasem,12.4,12.41,12.42,10302,10237,10175,6.31,6.32,6.33,70.35,70.47,70.56,67.34,67.35,67.36,-,-,-,0.14,0.06,0.08,0.75,0.52,0.64
277,Temanggung,12.13,12.14,12.32,9489,9343,9408,7.15,7.24,7.25,75.48,75.58,75.64,69.56,69.57,69.88,-,-,-,0.05,0.11,0.39,0.51,0.86,1.57
278,Jayawijaya,11.93,12.27,12.53,7835,7441,7545,5.3,5.51,5.6,59.39,59.64,59.9,57.79,58.03,58.67,-,-,-,7.61,5.16,5.59,15.11,12.54,12.89
279,Kota Bukittinggi,14.96,14.97,14.98,13586,13282,13331,11.32,11.33,11.34,74.22,74.38,74.5,80.71,80.58,80.7,-,-,-,0.12,0.2,0.19,0.56,0.56,0.8
280,Tulang Bawang Barat,12.04,12.05,12.06,8532,8395,8422,7.13,7.24,7.39,69.88,70.0,70.03,65.93,65.97,66.22,-,-,-,0.13,0.18,0.12,0.77,0.92,0.68
281,Kota Bogor,13.4,13.41,13.42,11825,11564,11716,10.32,10.33,10.53,73.41,73.61,73.82,76.23,76.11,76.59,-,-,-,0.18,0.26,0.27,0.72,1.08,1.1
282,Simeulue,13.51,13.76,13.9,7210,7085,7148,9.08,9.34,9.48,65.22,65.26,65.28,65.7,66.03,66.41,-,-,-,0.71,0.47,0.5,3.05,2.21,2.37
284,Tabanan,12.99,13.0,13.01,14608,14494,14326,8.87,8.88,9.14,73.53,73.65,73.75,76.16,76.17,76.45,-,-,-,0.03,0.1,0.22,0.26,0.58,0.82
286,Kota Semarang,15.51,15.52,15.53,15550,15243,15425,10.52,10.53,10.78,77.25,77.34,77.51,83.19,83.05,83.55,-,-,-,0.12,0.16,0.14,0.57,0.68,0.67
287,Bangka Barat,11.52,11.53,11.7,12275,12233,12269,7.21,7.22,7.44,69.99,70.06,70.08,69.05,69.08,69.6,-,-,-,0.07,0.04,0.04,0.31,0.23,0.25
289,Natuna,13.89,13.9,13.91,14821,14705,14711,8.72,8.73,8.92,64.81,65.06,65.31,72.63,72.72,73.09,-,-,-,0.09,0.05,0.07,0.49,0.4,0.44
290,Nduga,3.29,3.61,3.87,4181,3975,3976,0.97,1.13,1.42,55.12,55.27,55.43,30.75,31.55,32.84,-,-,-,2.02,2.25,5.43,7.07,7.57,11.89
291,Pekalongan,12.4,12.41,12.42,10508,10312,10409,6.88,6.91,7.17,73.57,73.69,73.74,69.71,69.63,70.11,-,-,-,0.2,0.29,0.39,1.17,1.42,1.75
292,Sanggau,11.56,11.57,11.59,8410,8245,8328,6.95,7.15,7.39,71.35,71.42,71.42,65.67,65.77,66.2,-,-,-,0.09,0.21,0.16,0.48,0.82,0.62
295,Tana Tidung,12.2,12.21,12.22,7981,7381,7676,8.53,8.54,8.8,71.38,71.42,71.49,67.79,66.97,67.76,-,-,-,0.04,0.06,0.19,0.32,0.33,0.89
296,Jembrana,12.63,12.65,12.92,11902,11790,11675,8.22,8.23,8.35,72.21,72.35,72.46,72.35,72.36,72.75,-,-,-,0.11,0.06,0.12,0.59,0.39,0.63
297,Kota Salatiga,15.34,15.41,15.42,15944,15699,15843,10.41,10.42,10.66,77.22,77.4,77.55,83.12,83.14,83.6,-,-,-,0.2,0.08,0.19,0.83,0.53,0.8
298,Sumba Timur,12.81,12.82,12.83,9640,9406,9354,6.86,7.12,7.32,64.94,65.13,65.16,65.34,65.52,65.74,-,-,-,3.14,1.95,2.94,8.57,6.2,7.98
299,Bone,12.8,12.88,12.98,8954,8963,9030,6.98,7.15,7.23,66.88,67.07,67.21,65.67,66.06,66.4,-,-,-,0.29,0.36,0.42,1.35,1.59,1.67
301,Sinjai,12.87,13.05,13.06,9465,9439,9505,7.48,7.75,7.78,67.17,67.3,67.38,67.05,67.6,67.75,-,-,-,0.22,0.36,0.3,1.08,1.34,1.45
303,Pemalang,11.94,11.95,11.96,8546,8461,8573,6.41,6.42,6.45,73.22,73.4,73.53,66.32,66.32,66.56,-,-,-,0.57,0.68,0.77,2.55,2.86,2.92
305,Tulangbawang,11.88,11.89,11.95,10797,10683,10735,7.23,7.49,7.55,69.88,69.97,70.01,68.23,68.52,68.73,-,-,-,0.35,0.26,0.2,1.43,1.24,1.15
307,Sumbawa,12.97,13.06,13.07,9336,9146,9167,7.91,7.92,8.15,67.31,67.54,67.73,67.6,67.61,68.01,-,-,-,0.59,0.5,0.41,2.56,2.22,1.78
309,Kendal,12.8,12.95,12.96,11597,11425,11608,7.25,7.45,7.46,74.33,74.43,74.48,71.97,72.29,72.5,-,-,-,0.32,0.25,0.33,1.47,1.37,1.52
310,Banjarnegara,11.45,11.46,11.63,9547,9263,9407,6.5,6.74,6.75,74.01,74.18,74.28,67.34,67.45,67.86,-,-,-,0.55,0.51,0.79,2.38,2.47,2.97
312,Hulu Sungai Tengah,12.19,12.2,12.21,12257,12153,12280,7.99,8.0,8.01,65.82,66.01,66.2,68.8,68.84,69.05,-,-,-,0.19,0.06,0.09,0.85,0.43,0.53
314,Langkat,12.81,13.05,13.24,11208,11071,11142,8.64,8.65,8.66,68.59,68.8,68.97,70.76,71.0,71.35,-,-,-,0.14,0.33,0.23,0.9,1.52,1.17
315,Kayong Utara,11.81,11.82,11.84,7905,7842,7920,6.0,6.01,6.02,68.11,68.28,68.48,62.66,62.68,62.9,-,-,-,0.42,0.22,0.46,1.69,1.13,1.78
317,Fakfak,14.09,14.37,14.63,7608,7599,7446,8.64,8.84,8.97,68.41,68.47,68.5,67.87,68.36,68.52,-,-,-,1.4,1.95,2.12,4.87,5.87,6.11
318,Deli Serdang,13.34,13.35,13.36,12317,12225,12291,10.08,10.09,10.1,71.61,71.73,71.77,75.43,75.44,75.53,-,-,-,0.11,0.16,0.13,0.47,0.55,0.56
319,Bangli,12.33,12.34,12.35,11369,11268,11201,7.16,7.17,7.18,70.37,70.52,70.62,69.35,69.36,69.37,-,-,-,0.02,0.04,0.11,0.24,0.3,0.56
320,Aceh Selatan,14.41,14.42,14.6,8187,8089,8180,8.59,8.87,8.88,64.27,64.35,64.4,66.9,67.12,67.44,-,-,-,0.31,0.46,0.4,1.58,2.13,1.69
321,Barito Timur,12.82,12.83,12.84,11333,11319,11322,9.2,9.21,9.23,68.14,68.22,68.31,71.34,71.39,71.47,-,-,-,0.12,0.08,0.16,0.72,0.55,0.82
323,Intan Jaya,7.36,7.65,7.66,5593,5283,5328,2.64,2.84,3.09,65.51,65.6,65.69,47.51,47.79,48.34,-,-,-,2.27,2.17,1.05,8.73,8.0,5.92
324,Kota Mataram,15.58,15.59,15.64,15426,14968,14999,9.45,9.46,9.54,71.59,71.76,71.88,79.1,78.91,79.14,-,-,-,0.45,0.56,0.19,1.55,1.86,0.93
326,Kapuas Hulu,12.04,12.05,12.08,7206,7162,7168,7.47,7.52,7.53,72.44,72.52,72.53,65.65,65.69,65.75,-,-,-,0.17,0.35,0.15,0.94,1.52,0.94
327,Seram Bagian Barat,13.42,13.44,13.48,8704,8690,8720,8.86,8.87,8.92,61.48,61.69,61.85,65.49,65.62,65.83,-,-,-,1.3,1.23,1.26,4.86,4.46,4.34
328,Rokan Hulu,12.83,12.84,12.85,9979,9374,9406,8.38,8.39,8.54,69.89,70.06,70.18,69.93,69.38,69.67,-,-,-,0.55,0.57,0.36,1.87,2.04,1.51
329,Cilacap,12.49,12.5,12.63,10639,10440,10534,6.93,6.97,7.09,73.52,73.73,73.9,69.98,69.95,70.42,-,-,-,0.21,0.13,0.3,1.28,0.95,1.48
330,Cianjur,11.98,11.99,12.0,8290,7980,8052,6.97,7.18,7.19,69.91,70.13,70.32,65.38,65.36,65.56,-,-,-,0.11,0.27,0.46,0.74,1.38,1.83
331,Tapanuli Utara,13.68,13.69,13.7,11791,11648,11710,9.71,9.85,9.99,68.46,68.63,68.76,73.33,73.47,73.76,-,-,-,0.47,0.21,0.23,1.6,1.18,1.21
332,Toraja Utara,13.37,13.38,13.39,8083,8097,8134,7.92,7.96,8.25,73.35,73.39,73.41,69.23,69.33,69.75,-,-,-,0.46,0.37,0.39,1.99,1.75,1.83
333,Maros,13.02,13.04,13.16,10981,10963,11032,7.46,7.73,8.01,68.98,69.02,69.04,69.5,69.86,70.41,-,-,-,0.89,0.34,0.41,2.5,1.45,1.61
334,Ketapang,11.79,11.8,11.81,9259,9163,9209,7.26,7.31,7.46,71.01,71.1,71.11,67.16,67.17,67.43,-,-,-,0.37,0.39,0.32,1.51,1.61,1.42
335,Minahasa Tenggara,12.04,12.27,12.43,10665,10408,10479,8.87,8.88,9.11,70.07,70.15,70.21,70.47,70.51,71.06,-,-,-,0.32,0.61,0.67,1.7,2.27,2.39
336,Jombang,13.0,13.27,13.57,11533,11261,11394,8.53,8.54,8.55,72.27,72.4,72.49,72.85,72.97,73.45,-,-,-,0.53,0.4,0.36,1.77,1.73,1.55
337,Purworejo,13.49,13.5,13.51,10342,10163,10275,7.91,8.12,8.21,74.52,74.72,74.87,72.5,72.68,72.98,-,-,-,0.1,0.12,0.28,0.84,0.98,1.36
338,Grobogan,12.29,12.3,12.44,10350,10221,10294,6.86,6.91,7.11,74.61,74.75,74.84,69.86,69.87,70.41,-,-,-,0.13,0.18,0.37,0.9,1.17,1.66
339,Boalemo,12.43,12.44,12.45,8874,8789,8940,6.54,6.82,7.0,68.83,69.07,69.3,65.53,65.91,66.42,-,-,-,0.68,0.67,0.64,2.92,2.79,2.77
